index,file_name,subject_ID,orientation,orientation_category,test_group_criteria,test_group_classification
1,M22090514_dwi_mask_OF_prepped_AIL.nii.gz,M22090514,AIL,0,0.501708625,1
2,M22090514_dwi_mask_OF_prepped_ALS.nii.gz,M22090514,ALS,1,0.368895431,1
3,M22090514_dwi_mask_OF_prepped_ARI.nii.gz,M22090514,ARI,2,0.925417463,1
4,M22090514_dwi_mask_OF_prepped_ASR.nii.gz,M22090514,ASR,3,0.143467909,1
5,M22090514_dwi_mask_OF_prepped_IAR.nii.gz,M22090514,IAR,4,0.613402071,1
6,M22090514_dwi_mask_OF_prepped_ILA.nii.gz,M22090514,ILA,5,0.479753585,1
7,M22090514_dwi_mask_OF_prepped_IPL.nii.gz,M22090514,IPL,6,0.571199575,1
8,M22090514_dwi_mask_OF_prepped_IRP.nii.gz,M22090514,IRP,7,0.602746723,1
9,M22090514_dwi_mask_OF_prepped_LAI.nii.gz,M22090514,LAI,8,0.95663655,1
10,M22090514_dwi_mask_OF_prepped_LIP.nii.gz,M22090514,LIP,9,0.893730934,1
11,M22090514_dwi_mask_OF_prepped_LPS.nii.gz,M22090514,LPS,10,0.42610637,1
12,M22090514_dwi_mask_OF_prepped_LSA.nii.gz,M22090514,LSA,11,0.070372097,1
13,M22090514_dwi_mask_OF_prepped_PIR.nii.gz,M22090514,PIR,12,0.654575023,1
14,M22090514_dwi_mask_OF_prepped_PLI.nii.gz,M22090514,PLI,13,0.769690923,1
15,M22090514_dwi_mask_OF_prepped_PRS.nii.gz,M22090514,PRS,14,0.184162382,1
16,M22090514_dwi_mask_OF_prepped_PSL.nii.gz,M22090514,PSL,15,0.534317419,1
17,M22090514_dwi_mask_OF_prepped_RAS.nii.gz,M22090514,RAS,16,0.888011364,1
18,M22090514_dwi_mask_OF_prepped_RIA.nii.gz,M22090514,RIA,17,0.161109163,1
19,M22090514_dwi_mask_OF_prepped_RPI.nii.gz,M22090514,RPI,18,0.096798638,1
20,M22090514_dwi_mask_OF_prepped_RSP.nii.gz,M22090514,RSP,19,0.06754293,1
21,M22090514_dwi_mask_OF_prepped_SAL.nii.gz,M22090514,SAL,20,0.747059908,1
22,M22090514_dwi_mask_OF_prepped_SLP.nii.gz,M22090514,SLP,21,0.380643733,1
23,M22090514_dwi_mask_OF_prepped_SPR.nii.gz,M22090514,SPR,22,0.773975296,1
24,M22090514_dwi_mask_OF_prepped_SRA.nii.gz,M22090514,SRA,23,0.795005686,1
49,N58610_dwi_mask_OF_prepped_AIL.nii.gz,N58610,AIL,0,0.433884056,1
50,N58610_dwi_mask_OF_prepped_ALS.nii.gz,N58610,ALS,1,0.427161036,1
25,N58217_dwi_mask_OF_prepped_AIL.nii.gz,N58217,AIL,0,0.663178045,0
26,N58217_dwi_mask_OF_prepped_ALS.nii.gz,N58217,ALS,1,0.690243801,0
27,N58217_dwi_mask_OF_prepped_ARI.nii.gz,N58217,ARI,2,0.352180689,0
28,N58217_dwi_mask_OF_prepped_ASR.nii.gz,N58217,ASR,3,0.570395346,0
29,N58217_dwi_mask_OF_prepped_IAR.nii.gz,N58217,IAR,4,0.804102367,0
30,N58217_dwi_mask_OF_prepped_ILA.nii.gz,N58217,ILA,5,0.859542568,0
31,N58217_dwi_mask_OF_prepped_IPL.nii.gz,N58217,IPL,6,0.221488499,0
32,N58217_dwi_mask_OF_prepped_IRP.nii.gz,N58217,IRP,7,0.587561992,0
33,N58217_dwi_mask_OF_prepped_LAI.nii.gz,N58217,LAI,8,0.374473152,0
34,N58217_dwi_mask_OF_prepped_LIP.nii.gz,N58217,LIP,9,0.489613538,0
35,N58217_dwi_mask_OF_prepped_LPS.nii.gz,N58217,LPS,10,0.873315227,0
36,N58217_dwi_mask_OF_prepped_LSA.nii.gz,N58217,LSA,11,0.679883298,0
37,N58217_dwi_mask_OF_prepped_PIR.nii.gz,N58217,PIR,12,0.547524529,0
38,N58217_dwi_mask_OF_prepped_PLI.nii.gz,N58217,PLI,13,0.239295125,0
39,N58217_dwi_mask_OF_prepped_PRS.nii.gz,N58217,PRS,14,0.708914017,0
40,N58217_dwi_mask_OF_prepped_PSL.nii.gz,N58217,PSL,15,0.364825182,0
41,N58217_dwi_mask_OF_prepped_RAS.nii.gz,N58217,RAS,16,0.350272264,0
42,N58217_dwi_mask_OF_prepped_RIA.nii.gz,N58217,RIA,17,0.178157365,0
43,N58217_dwi_mask_OF_prepped_RPI.nii.gz,N58217,RPI,18,0.59550892,0
44,N58217_dwi_mask_OF_prepped_RSP.nii.gz,N58217,RSP,19,0.833248954,0
45,N58217_dwi_mask_OF_prepped_SAL.nii.gz,N58217,SAL,20,0.139680831,0
46,N58217_dwi_mask_OF_prepped_SLP.nii.gz,N58217,SLP,21,0.011662597,0
47,N58217_dwi_mask_OF_prepped_SPR.nii.gz,N58217,SPR,22,0.186255577,0
48,N58217_dwi_mask_OF_prepped_SRA.nii.gz,N58217,SRA,23,0.769219739,0
51,N58610_dwi_mask_OF_prepped_ARI.nii.gz,N58610,ARI,2,0.567150159,1
52,N58610_dwi_mask_OF_prepped_ASR.nii.gz,N58610,ASR,3,0.667476076,1
53,N58610_dwi_mask_OF_prepped_IAR.nii.gz,N58610,IAR,4,0.659557945,1
54,N58610_dwi_mask_OF_prepped_ILA.nii.gz,N58610,ILA,5,0.577972212,1
55,N58610_dwi_mask_OF_prepped_IPL.nii.gz,N58610,IPL,6,0.545680615,1
56,N58610_dwi_mask_OF_prepped_IRP.nii.gz,N58610,IRP,7,0.264944632,1
57,N58610_dwi_mask_OF_prepped_LAI.nii.gz,N58610,LAI,8,0.017530295,1
58,N58610_dwi_mask_OF_prepped_LIP.nii.gz,N58610,LIP,9,0.229992399,1
59,N58610_dwi_mask_OF_prepped_LPS.nii.gz,N58610,LPS,10,0.500037184,1
60,N58610_dwi_mask_OF_prepped_LSA.nii.gz,N58610,LSA,11,0.323017366,1
61,N58610_dwi_mask_OF_prepped_PIR.nii.gz,N58610,PIR,12,0.391703437,1
62,N58610_dwi_mask_OF_prepped_PLI.nii.gz,N58610,PLI,13,0.636629582,1
63,N58610_dwi_mask_OF_prepped_PRS.nii.gz,N58610,PRS,14,0.475540034,1
64,N58610_dwi_mask_OF_prepped_PSL.nii.gz,N58610,PSL,15,0.885287438,1
65,N58610_dwi_mask_OF_prepped_RAS.nii.gz,N58610,RAS,16,0.287488595,1
66,N58610_dwi_mask_OF_prepped_RIA.nii.gz,N58610,RIA,17,0.770492936,1
67,N58610_dwi_mask_OF_prepped_RPI.nii.gz,N58610,RPI,18,0.933750502,1
68,N58610_dwi_mask_OF_prepped_RSP.nii.gz,N58610,RSP,19,0.718246187,1
69,N58610_dwi_mask_OF_prepped_SAL.nii.gz,N58610,SAL,20,0.032757965,1
70,N58610_dwi_mask_OF_prepped_SLP.nii.gz,N58610,SLP,21,0.907434392,1
71,N58610_dwi_mask_OF_prepped_SPR.nii.gz,N58610,SPR,22,0.82934977,1
72,N58610_dwi_mask_OF_prepped_SRA.nii.gz,N58610,SRA,23,0.780901738,1
73,N58612_dwi_mask_OF_prepped_AIL.nii.gz,N58612,AIL,0,0.418272845,1
74,N58612_dwi_mask_OF_prepped_ALS.nii.gz,N58612,ALS,1,0.463322295,1
75,N58612_dwi_mask_OF_prepped_ARI.nii.gz,N58612,ARI,2,0.023021804,1
76,N58612_dwi_mask_OF_prepped_ASR.nii.gz,N58612,ASR,3,0.788211581,1
77,N58612_dwi_mask_OF_prepped_IAR.nii.gz,N58612,IAR,4,0.353881923,1
78,N58612_dwi_mask_OF_prepped_ILA.nii.gz,N58612,ILA,5,0.858876103,1
79,N58612_dwi_mask_OF_prepped_IPL.nii.gz,N58612,IPL,6,0.651820776,1
80,N58612_dwi_mask_OF_prepped_IRP.nii.gz,N58612,IRP,7,0.14006264,1
81,N58612_dwi_mask_OF_prepped_LAI.nii.gz,N58612,LAI,8,0.552811884,1
82,N58612_dwi_mask_OF_prepped_LIP.nii.gz,N58612,LIP,9,0.406772819,1
83,N58612_dwi_mask_OF_prepped_LPS.nii.gz,N58612,LPS,10,0.973225009,1
84,N58612_dwi_mask_OF_prepped_LSA.nii.gz,N58612,LSA,11,0.301529356,1
85,N58612_dwi_mask_OF_prepped_PIR.nii.gz,N58612,PIR,12,0.633041615,1
86,N58612_dwi_mask_OF_prepped_PLI.nii.gz,N58612,PLI,13,0.582099559,1
87,N58612_dwi_mask_OF_prepped_PRS.nii.gz,N58612,PRS,14,0.353557446,1
88,N58612_dwi_mask_OF_prepped_PSL.nii.gz,N58612,PSL,15,0.275000113,1
89,N58612_dwi_mask_OF_prepped_RAS.nii.gz,N58612,RAS,16,0.956326964,1
90,N58612_dwi_mask_OF_prepped_RIA.nii.gz,N58612,RIA,17,0.41496637,1
91,N58612_dwi_mask_OF_prepped_RPI.nii.gz,N58612,RPI,18,0.71862276,1
92,N58612_dwi_mask_OF_prepped_RSP.nii.gz,N58612,RSP,19,0.49152239,1
93,N58612_dwi_mask_OF_prepped_SAL.nii.gz,N58612,SAL,20,0.996691028,1
94,N58612_dwi_mask_OF_prepped_SLP.nii.gz,N58612,SLP,21,0.472022225,1
95,N58612_dwi_mask_OF_prepped_SPR.nii.gz,N58612,SPR,22,0.048648269,1
96,N58612_dwi_mask_OF_prepped_SRA.nii.gz,N58612,SRA,23,0.150936081,1
145,N58636_dwi_mask_OF_prepped_AIL.nii.gz,N58636,AIL,0,0.777998954,1
146,N58636_dwi_mask_OF_prepped_ALS.nii.gz,N58636,ALS,1,0.574482071,1
97,N58634_dwi_mask_OF_prepped_AIL.nii.gz,N58634,AIL,0,0.049634422,0
98,N58634_dwi_mask_OF_prepped_ALS.nii.gz,N58634,ALS,1,0.260449683,0
99,N58634_dwi_mask_OF_prepped_ARI.nii.gz,N58634,ARI,2,0.076835826,0
100,N58634_dwi_mask_OF_prepped_ASR.nii.gz,N58634,ASR,3,0.53874481,0
101,N58634_dwi_mask_OF_prepped_IAR.nii.gz,N58634,IAR,4,0.337004963,0
102,N58634_dwi_mask_OF_prepped_ILA.nii.gz,N58634,ILA,5,0.177052756,0
103,N58634_dwi_mask_OF_prepped_IPL.nii.gz,N58634,IPL,6,0.161596436,0
104,N58634_dwi_mask_OF_prepped_IRP.nii.gz,N58634,IRP,7,0.989030594,0
105,N58634_dwi_mask_OF_prepped_LAI.nii.gz,N58634,LAI,8,0.117945118,0
106,N58634_dwi_mask_OF_prepped_LIP.nii.gz,N58634,LIP,9,0.142948162,0
107,N58634_dwi_mask_OF_prepped_LPS.nii.gz,N58634,LPS,10,0.998011876,0
108,N58634_dwi_mask_OF_prepped_LSA.nii.gz,N58634,LSA,11,0.057963907,0
109,N58634_dwi_mask_OF_prepped_PIR.nii.gz,N58634,PIR,12,0.486534942,0
110,N58634_dwi_mask_OF_prepped_PLI.nii.gz,N58634,PLI,13,0.516044891,0
111,N58634_dwi_mask_OF_prepped_PRS.nii.gz,N58634,PRS,14,0.107923163,0
112,N58634_dwi_mask_OF_prepped_PSL.nii.gz,N58634,PSL,15,0.430510249,0
113,N58634_dwi_mask_OF_prepped_RAS.nii.gz,N58634,RAS,16,0.017132591,0
114,N58634_dwi_mask_OF_prepped_RIA.nii.gz,N58634,RIA,17,0.753464084,0
